AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
2480,153,159,205,180,64,96,43,33,193,240,20,54,588
4238,154,168,198,176,65,101,44,35,204,250,21,46,589
3198,151,158,218,184,60,100,44,36,200,260,19,48,590
2867,159,161,207,183,65,96,43,36,203,253,20,46,590
3859,156,163,207,184,75,107,49,39,202,248,19,53,590
8525,147,156,212,168,63,97,41,42,205,250,20,46,590
3827,155,165,194,175,74,104,51,35,209,243,20,44,590
1091,152,162,223,178,69,97,53,43,196,240,22,49,590
104,143,150,220,173,62,93,42,37,198,252,19,46,590
2890,153,164,228,185,68,95,48,40,202,245,21,52,591
3661,153,160,208,168,68,102,46,39,199,248,20,52,591
4468,147,158,206,173,63,105,36,44,206,254,19,45,592
2500,148,162,219,169,64,95,45,35,196,263,20,48,592
2687,154,160,225,178,62,107,47,43,205,243,21,51,592
241,149,161,222,176,67,96,45,38,201,248,20,46,592
8143,147,157,231,182,67,99,48,39,188,238,22,53,592
8006,153,153,224,178,62,99,50,31,197,249,20,45,593
3326,157,160,218,175,64,102,44,41,205,251,19,55,595
3240,156,168,220,183,70,91,44,41,200,242,20,50,595
4628,154,161,210,187,64,95,48,39,198,239,22,52,595
3419,151,164,215,182,72,95,41,39,205,257,21,44,596
3795,156,160,212,198,69,98,43,36,202,246,21,51,596
2465,145,155,210,174,61,98,45,32,200,241,20,47,596
3503,151,166,200,170,70,97,45,32,198,241,19,49,596
3931,150,161,204,192,64,102,47,41,203,250,20,53,597
4257,161,172,215,193,72,102,43,39,204,244,21,52,597
8412,147,153,205,170,57,102,50,36,212,245,24,46,597
3484,153,164,205,181,64,100,47,41,198,242,22,47,597
7455,150,156,227,175,65,101,46,39,203,254,20,62,598
3006,155,159,204,194,68,99,48,41,197,252,22,55,598
2965,158,163,230,175,67,105,51,34,211,236,20,46,598
258,149,156,225,172,66,100,50,37,197,251,19,50,598
