WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
151,156,213,168,65,100,44,35,203,256,20,44,565
155,165,210,177,74,96,48,35,202,243,20,43,565
154,163,225,178,70,104,40,39,197,242,19,43,565
155,162,225,183,67,97,52,32,202,232,22,47,565
165,168,189,172,75,95,45,42,197,236,20,44,566
155,168,220,185,72,99,46,40,204,250,21,56,567
150,160,219,175,66,99,42,38,205,242,19,53,567
153,161,231,187,68,103,53,41,200,249,22,52,569
154,163,185,175,69,105,50,33,207,240,21,43,569
154,161,217,182,63,96,49,37,200,235,20,42,570
160,165,208,187,76,102,48,36,200,232,20,51,570
154,165,200,168,69,98,54,35,199,253,21,45,571
155,171,210,175,71,95,47,40,201,246,22,50,572
144,155,208,172,62,95,37,34,200,244,20,48,573
141,152,210,171,56,98,40,37,205,233,20,42,574
154,164,203,178,68,97,45,39,204,246,21,48,575
149,154,190,170,63,97,47,39,205,237,19,48,575
152,168,224,180,74,96,40,36,191,236,20,47,575
155,163,195,180,69,99,43,40,198,238,20,46,576
158,167,221,185,71,102,49,39,207,235,22,45,577
156,168,215,190,72,104,46,42,201,236,21,53,579
150,160,210,174,62,105,52,37,197,249,20,45,580
149,165,237,178,65,102,45,39,197,235,19,45,580
158,168,187,186,74,96,44,39,194,239,20,50,580
157,163,202,184,66,102,48,37,205,238,21,45,581
156,165,199,185,70,100,48,33,210,251,20,43,583
151,168,217,187,69,108,46,41,205,244,21,53,583
155,163,213,184,66,100,49,34,203,250,20,43,583
162,165,202,183,73,97,44,37,198,231,19,43,583
146,155,215,183,58,101,42,37,198,227,19,51,583
148,160,215,181,67,104,43,36,209,248,20,47,584
156,164,219,179,61,98,54,36,203,242,21,47,584
154,163,213,185,68,100,47,39,205,245,19,59,585
155,163,215,182,68,101,44,41,199,244,20,41,585
159,165,210,180,71,101,55,35,199,242,19,44,585
147,159,210,170,65,94,40,37,192,242,19,43,585
150,156,215,169,65,102,45,35,194,253,19,45,588
153,159,205,180,64,96,43,33,193,240,20,54,588
154,168,198,176,65,101,44,35,204,250,21,46,589
151,158,218,184,60,100,44,36,200,260,19,48,590
159,161,207,183,65,96,43,36,203,253,20,46,590
156,163,207,184,75,107,49,39,202,248,19,53,590
155,165,194,175,74,104,51,35,209,243,20,44,590
152,162,223,178,69,97,53,43,196,240,22,49,590
153,164,228,185,68,95,48,40,202,245,21,52,591
153,160,208,168,68,102,46,39,199,248,20,52,591
147,158,206,173,63,105,36,44,206,254,19,45,592
148,162,219,169,64,95,45,35,196,263,20,48,592
154,160,225,178,62,107,47,43,205,243,21,51,592
157,160,218,175,64,102,44,41,205,251,19,55,595
